mode,scenario,fg_db,route,case,method,score
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.06926788864573526
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-1.0968629877347698
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-26.608278420733015
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.183511819654862
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-27.176715911878027
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-1.0443561379557873
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-1.4835448541856002
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",18.24511510735771
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-5.113816983712017
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.0069511632391243946
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0006862512030209329
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-44.653156778213805
