tag,iteration,case,method,score
contemp_hydrolysis_uncertainty,41,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.5726866602649696
contemp_hydrolysis_uncertainty,42,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",10.18262871166924
contemp_hydrolysis_uncertainty,42,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-12.094704987570246
contemp_hydrolysis_uncertainty,42,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-1.9120762759009888
contemp_hydrolysis_uncertainty,43,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",26.800983718126076
contemp_hydrolysis_uncertainty,43,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.828168426127347
contemp_hydrolysis_uncertainty,43,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",14.97281529199872
contemp_hydrolysis_uncertainty,44,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",27.471876548633205
contemp_hydrolysis_uncertainty,44,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.872544964614178
contemp_hydrolysis_uncertainty,44,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",17.59933158401905
contemp_hydrolysis_uncertainty,45,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.312920390518883
contemp_hydrolysis_uncertainty,45,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.676825808263903
contemp_hydrolysis_uncertainty,45,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.636094582254982
contemp_hydrolysis_uncertainty,46,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",29.4866182246816
contemp_hydrolysis_uncertainty,46,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-12.236522994856013
contemp_hydrolysis_uncertainty,46,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",17.250095229825597
contemp_hydrolysis_uncertainty,47,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",15.397850964327638
contemp_hydrolysis_uncertainty,47,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.77786472315763
contemp_hydrolysis_uncertainty,47,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.619986241170008
