tag,iteration,route,case,method,score
contemp_al_base_routes_uncertainty_rewire_embedded,17,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.01327466559179543
contemp_al_base_routes_uncertainty_rewire_embedded,17,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.18187082321565
contemp_al_base_routes_uncertainty_rewire_embedded,17,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.16859615762387
contemp_al_base_routes_uncertainty_rewire_embedded,17,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.16859615762387
contemp_al_base_routes_uncertainty_rewire_embedded,17,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.2145711439903333
contemp_al_base_routes_uncertainty_rewire_embedded,17,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-41.78211718849024
contemp_al_base_routes_uncertainty_rewire_embedded,17,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.14210211509461274
contemp_al_base_routes_uncertainty_rewire_embedded,17,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.14210211509461274
contemp_al_base_routes_uncertainty_rewire_embedded,18,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.012549084248747091
contemp_al_base_routes_uncertainty_rewire_embedded,18,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-54.15520083623956
contemp_al_base_routes_uncertainty_rewire_embedded,18,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-54.14265175199091
contemp_al_base_routes_uncertainty_rewire_embedded,18,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-54.14265175199091
contemp_al_base_routes_uncertainty_rewire_embedded,18,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.201473322018052
contemp_al_base_routes_uncertainty_rewire_embedded,18,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.59558688822414
contemp_al_base_routes_uncertainty_rewire_embedded,18,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.11184477747599898
contemp_al_base_routes_uncertainty_rewire_embedded,18,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.11184477747599898
