mode,runner,scenario,bg_db,fg_db,route,case,method,score,solver,tech_shape,n_activities,n_products,error
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,stageD_only,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",0.057429906532744546,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.17273743379493,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.2308125001707324,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-19.088209951320863,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",42.76036259019352,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",50.423815192231764,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-183.80500442047554,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-4.112861925935885,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.008816518351019698,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.00023657312854800038,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-41.209695110315266,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-75.51783867001244,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",0.20832682414955972,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-1.0388304412567013,standard,"(107293, 107293)",107293,107293,
